cid	author	title	year
14658936176419871996,405592559232898639	A Durvasula, PJ Hoffman, TV Kent, C Liu, TJY Kono, PL Morrell, ...	angsd‐wrapper: utilities for analysing next‐generation sequencing data	2016
14659039718259909589	J Ross-Ibarra, BS Gaut	Multiple domestications do not appear monophyletic	2008
16677551820371444052	S Flint-Garcia, MJ Feldmann, H Dempewolf, PL Morrell, J Ross-Ibarra	Diamonds in the not-so-rough: Wild relative diversity hidden in crop genomes	2023
7474610793083089141	P Bilinski, K Distor, J Gutierrez-Lopez, GM Mendoza, J Shi, RK Dawe, ...	Diversity and evolution of centromere repeats in the maize genome	2015
11847404813452014186	MR Aguilar-Rangel, RAC Montes, E González-Segovia, J Ross-Ibarra, ...	Allele specific expression analysis identifies regulatory variation associated with stress-related genes in the Mexican highland maize landrace Palomero Toluqueño	2017
4502892611533604349	L Vann, T Kono, T Pyhäjärvi, MB Hufford, J Ross-Ibarra	Natural variation in teosinte at the domestication locus teosinte branched1 (tb1)	2015
14583174141795727444,4662912927671142445	EJ Fuchs, J Ross-Ibarra, G Barrantes	Reproductive biology of Macleania rupestris (Ericaceae), a pollen-limited Neotropical cloud-forest species in Costa Rica	2010
15581864934816424318	MC Stitzer, AS Seetharam, A Scheben, SK Hsu, AJ Schulz, ...	Extensive genome evolution distinguishes maize within a stable tribe of grasses	2025
10272593141167204712	B Berube, E Ernst, J Cahn, B Roche, C de Santis Alves, J Lynn, ...	Teosinte Pollen Drive guides maize diversification and domestication by RNAi	2024
17930901947040544584	S Sun, B Wang, C Li, G Xu, J Yang, MB Hufford, J Ross-Ibarra, H Wang, ...	Unraveling prevalence and effects of deleterious mutations in maize elite lines across decades of modern breeding	2023
859611454737340250	S Tittes, A Lorant, SP McGinty, JB Holland, J de Jesus Sánchez-González, ...	The population genetics of convergent adaptation in maize and teosinte is not locally restricted	2025
4200777730517717106	SG Odell, AI Hudson, S Praud, P Dubreuil, MH Tixier, J Ross-Ibarra, ...	Modeling allelic diversity of multiparent mapping populations affects detection of quantitative trait loci	2022
16941674438635770595	A Lorant, J Ross-Ibarra, M Tenaillon	Genomics of long-and short-term adaptation in maize and teosintes	2020
7367173473048507714	H Hu, T Crow, S Nojoomi, AJ Schulz, JM Estévez-Palmas, MB Hufford, ...	Allele-specific expression reveals multiple paths to highland adaptation in maize	2022
4754725764254370698	S Perez-Limón, M Li, GC Cintora-Martinez, MR Aguilar-Rangel, ...	A B73× Palomero Toluqueño mapping population reveals local adaptation in Mexican highland maize	2022
6632947253215446952	LF Samayoa, BA Olukolu, CJ Yang, Q Chen, MG Stetter, AM York, ...	Domestication reshaped the genetic basis of inbreeding depression in a maize landrace compared to its wild relative, teosinte	2021
5184418631926702828,11400685212099843186	F Li, DJ Gates, ES Buckler, MB Hufford, GM Janzen, R Rellán-Álvarez, ...	Environmental data provide marginal benefit for predicting climate adaptation	2025
40028831341852099,10343727954691350214	L Zeitler, J Ross-Ibarra, MG Stetter	Selective loss of diversity in doubled-haploid lines from European maize landraces	2020
15983575394020585674	A Guerra-García, IC Rojas-Barrera, J Ross-Ibarra, R Papa, D Piñero	The genomic signature of wild-to-crop introgression during the domestication of scarlet runner bean (Phaseolus coccineus L.)	2022
10306546315448360067	GA Dyer, A López-Feldman, A Yúnez-Naude, JE Taylor, J Ross-Ibarra	Reply to Brush et al.: Wake-up call for crop conservation science	2015
10736570628617082030	W Xue, SN Anderson, X Wang, L Yang, PA Crisp, Q Li, J Noshay, ...	Hybrid decay: a transgenerational epigenetic decline in vigor and viability triggered in backcross populations of teosinte with maize	2019
11937161593355680525	AR Phillips, AS Seetharam, PS Albert, T AuBuchon-Elder, JA Birchler, ...	A happy accident: a novel turfgrass reference genome	2023
15526564212076251883	MC Provance, I García-Ruiz, C Thommes, J Ross-Ibarra	Population genetics and ethnobotany of cultivated Diospyros riojae Gómez Pompa (Ebenaceae), an endangered fruit crop from Mexico	2013
14778485542675494915	R Horvath, M Menon, M Stitzer, J Ross-Ibarra	Controlling for variable transposition rate with an age-adjusted site frequency spectrum	2022
13486348739945366922,2898437834389851132	P Bilinski, Y Han, MB Hufford, A Lorant, P Zhang, MC Estep, J Jiang, ...	Genomic abundance is not predictive of tandem repeat localization in grass genomes	2017
10121709138180957198	CM Andorf, J Ross-Ibarra, AS Seetharam, MB Hufford, MR Woodhouse	A unified VCF dataset from nearly 1,500 diverse maize accessions and resources to explore the genomic landscape of maize	2025
16401606764419060059	CA Rushworth, AM Wardlaw, J Ross-Ibarra, Y Brandvain	Conflict over fertilization underlies the transient evolution of reinforcement	2022
17712083587418275641	N Manchanda, SJ Snodgrass, J Ross-Ibarra, MB Hufford	Evolution and adaptation in the maize genome	2018
3304032280356441643,16508598121234258701	AM O’Brien, RJH Sawers, J Gasca-Pineda, I Baxter, LE Eguiarte, ...	Teosinte populations exhibit weak local adaptation to their rhizosphere biota despite strong effects of biota source on teosinte fitness and traits	2024
